Modulbezeichnung: ,engl. Modulbezeichnung: ,ggf. Modulniveau: ,Kürzel: ,ggf. Untertitel: ,ggf. Lehrveranstaltungen: ,Studiensemester: ,Semesterlage: ,Modulverantwortliche(r):  ,Dozent(in): ,Sprache: ,Zuordnung zum Curriculum:  ,Lehrform / SWS:  ,Arbeitsaufwand:  ,Kreditpunkte: ,Empfohlene Voraussetzungen: ,Angestrebte Lernergebnisse:  ,Inhalt:  ,Studien-/ Prüfungsleistungen: ,Medienformen: ,Literatur: 
,,,,,,,,,,,,,,,,Lernziele & erworbene Kompetenzen: ,Prüfungsleistungen: ,,,"Organization in Sensor and Actor networks, John Wiley, 2007M. "
,,,,,,,,,,,,,,,,Teamarbeit (insbesondere Vergabe und Annahme von Ver-,"Teilnahme an den Lehrveranstaltungen, erfolgreich absolvierte ",,,"Parashar and S. Hariri (Ed.), Autonomic Computing: Concepts, "
,,,,,,,,,,,,,,,,"antwortung, Führung, Delegation und Absprache von Aufgaben, ",Praktika ,,,"Infrastructure and Applications, CRC 2007 "
,,,,,,,,,,,,,,,,Vereinbarung von Zusammenarbeitskriterien) ,Prüfung am Ende des Moduls ,,,"S. Camazine, J. Deneubourg, N. R. Franks, J. Sneyd, G. Theraulaz "
,,,,,,,,,,,,,,,,"Projektarbeit (insbesondere Vereinbarung von Zielen, Lasten- ", ,,,"and E. Bonabeau, Self-Organization in Biological Systems, "
,,,,,,,,,,,,,,,,"und Pflichtenheft, Planung von Meilensteinen und ",Einführung zu Mikroorganismen ,,,"Princeton University Press, 2003 "
,,,,,,,,,,,,,,,,"Arbeitspaketen, Projektdurchführung, Dokumentation und ",Klassifizierung von Mikroorganismen ,,,"H. G. Schuster, Complex Adaptive Systems: An Introduction, "
,,,,,,,,,,,,,,,,Präsentation eines Projektes und dessen Ergebnisse) ,Struktur und Funktion der prokaryotischen Zelle ,,,"Scator Verlag, 2001 "
,,,,,,,,,,,,,,,,Erstellung eines Software-Paketes im Team ,"Wachstum, Vermehrung und Sporenbildung ",,,"Eric Bonabeau, Marco Dorigo and Guy Theraulaz, Swarm "
,,,,,,,,,,,,,,,,Dieses Modul wird durch unterschiedliche Lehrveranstaltungen ,Grundmechanismen des Stoffwechsels ,,,"Intelligence: From Natural to Artificial Systems, Oxford "
,,,,,,,,,,,,,,,,implementiert. Fachliche Lehrziele sind angebotsspezifisch. ,Bioenergetik ,,,"University Press, 1999 "
,,,,,,,,,,,,,,,, ,Grundlagen der Genetik ,,,"R. S. Sutton, A. G. Barto, Reinforcement Learning - An "
,,,,,,,,,,,,,,,, ,Lichtmikroskopie ,,,"Introduction, MIT Press, 2004 "
,,,,,,,,,,,,,,,,Lernziele & erworbene Kompetenzen: ,Elektronenmikroskopie ,,,"K. Astrom, P. Albertos, M. Blanke, A. Isidori and W. "
,,,,,,,,,,,,,,,,Teamarbeit (insbesondere Vergabe und Annahme von ,Prüfung mechanischer Eigenschaften ,,,"Schaufelberger, Control of Complex Systems, Springer Verlag, "
,,,,,,,,,,,,,,,,"Verantwortung, Führung, Delegation und Absprache von ", ,,,2001 
,,,,,,,,,,,,,,,,"Aufgaben, Vereinbarung von Zusammenarbeitskriterien) ", ,,,"O. Babaoglu, M. Jelasity, A. Montresor, C. Fetzer, S. Leonardi, A. "
,,,,,,,,,,,,,,,,"Projektarbeit (insbesondere Vereinbarung von Zielen, Lasten- ",Seite 475   Inhaltsverzeichnis ,,,"van Moorsel and M. van Steen, Selfstar Properties in Complex "
,,,,,,,,,,,,,,,,"und Pflichtenheft, Planung von Meilensteinen und ",     ,,,"Information Systems: Conceptual and Practical Foundations , "
,,,,,,,,,,,,,,,,"Arbeitspaketen, Projektdurchführung, Dokumentation und ", ,,,Springer Verlag 2005 
,,,,,,,,,,,,,,,,Präsentation eines Projektes und dessen Ergebnisse) ,Prüfung elektrischer Eigenschaften ,,,"H. Sunan, T. K. Kiong, and L.T. Heng, Applied Predictive Control, "
,,,,,,,,,,,,,,,,Erstellung eines Software-Paketes im Team und in Kooperation ,Korrosionsuntersuchung ,,,Springer Verlag 2002 
,,,,,,,,,,,,,,,,mit dem Praxispartner ,Verschleißverhalten ,,,"A.E. Eiben and J.E. Smith, Introduction to Evolutionary "
,,,,,,,,,,,,,,,,Dieses Modul wird durch unterschiedliche Lehrveranstaltungen ,Zusammensetzung von Werkstoffen ,,,"Computing, Springer Verlag, 1999 "
,,,,,,,,,,,,,,,,im-plementiert. Fachliche Lehrziele sind angebotsspezifisch ,ideale und reale ,,,"Würtz, Rolf P. (Ed.), Organic Computing, Springer Verlag, 2008 "
,,,,,,,,,,,,,,,, ,KristallstrukturLegierungslehreMikrostrukturentstehung beim ,,,"Stephen I. Gallant, Neural Network Learning and Expert "
,,,,,,,,,,,,,,,,Tiefergehendes Verständnis von Betriebssystemen für ,Erstarren von SchmelzenVerformung und ,,,"Systems, The MIT Press, 1993 "
,,,,,,,,,,,,,,,,"eingebettete Systeme, bes. im Umfeld des Internets der ",BruchEigenschaftsoptimierung durch Wärmebehandlung ,,, 
,,,,,,,,,,,,,,,,DingeFähigkeit zur Anwendungsentwicklung für eingebettete ,"(Glühen, Härten)Einsatz von Werkstoffen ",,, 
,,,,,,,,,,,,,,,,SystemeTreiberentwicklung und , ,,, 
,,,,,,,,,,,,,,,,SystementwicklungVerwendung von ,• Technische Grundlagen ,,, 
,,,,,,,,,,,,,,,,Versionsverwaltungssystemen ,• Medienzugriffsverfahren ,,, 
,,,,,,,,,,,,,,,,"Kenntnisse der sozialwissenschaftlichen Medienanalyse, bes. ",• Medienzugriffsprotokolle (drahtgebunden/drahtlos) ,,,Seite 522   Inhaltsverzeichnis 
,,,,,,,,,,,,,,,,Film und ComputerspielFähigkeiten zur kritischen Analyse von ,"• Drahtlose LANs (Techniken, Standards, Einsatzgebiete)  ",,,     
,,,,,,,,,,,,,,,,filmischen Mitteln und Vermittlungsformen hinsichtlich ,• Sicherheitsproblematik  ,,, 
,,,,,,,,,,,,,,,,technischer und visueller Umsetzung ,"• Netzwerkprotokolle (Mobiles IP, Ad-hoc Netze, Drahtlose ",,,Wird in der Veranstaltung bereitgestellt 
,,,,,,,,,,,,,,,, ,"Sensornetze, Routing)  ",,, 
,,,,,,,,,,,,,,,,Lernziele: ,• Transportprotokolle (TCP-Varianten und Mobiles TCP) ,,, 
,,,,,,,,,,,,,,,,Vermittlung von Grundkenntnissen zur , ,,, 
,,,,,,,,,,,,,,,,speicherprogrammierbaren Antriebssteuerung ,Historie des Model-Driven Development ,,, 
,,,,,,,,,,,,,,,,Entwicklung von Fähigkeiten zum praktischen Umgang mit ,Metamodellierung innerhalb und ausserhalb UML und OMG ,,, 
,,,,,,,,,,,,,,,,industriellen Steuerungen ,Verifikation und Validierung von Modellen ,,,Seite 524   Inhaltsverzeichnis 
,,,,,,,,,,,,,,,, ,Modelltransformationen ,,,     
,,,,,,,,,,,,,,,, ,Implementierungsstrategien für Modelle ,,, 
,,,,,,,,,,,,,,,,Lernziele & zu erwerbende Kompetenzen: ,Domänenspezifische Sprachen ,,,High Performance Parallel I/O (Prabhat und Quincey Koziol) 
,,,,,,,,,,,,,,,,Die makroskopischen Werkstoffeigenschaften beruhen letztlich ,"Concept of population balances, properties of disperse systems ",,, 
,,,,,,,,,,,,,,,,auf dem Verhalten nano- und mikroskopisch kleiner Bereiche. Es ,Interaction between particles and continuous phase ,,, 
,,,,,,,,,,,,,,,,werden mikroskopische Methoden zur Untersuchung der ,Relevant properties (internal coordinates) ,,, 
,,,,,,,,,,,,,,,,"Zusammensetzung, der Kristallstruktur, der Mikrostruktur und ",Temporal solution ,,, 
,,,,,,,,,,,,,,,,von Eigenschaften behandelt. Als Signale werden dabei u. a. ,"Heat, mass and momentum transfer between the disperse and ",,, 
,,,,,,,,,,,,,,,,"Elektronen, Ionen, Röntgenstrahlen und Atomkräfte zur ",the continuous phases ,,, 
,,,,,,,,,,,,,,,,Abbildung verwendet. Die Grundlagen der Methoden werden ,Interactions between individual particles of the disperse phase ,,,Seite 526   Inhaltsverzeichnis 
,,,,,,,,,,,,,,,,dargestellt und die praktische Durchführung anhand von ,"Detailed consideration of key processes: nucleation, growth, ",,,     
,,,,,,,,,,,,,,,,Bauteilen des Maschinenbaus und der Mikroelektronik ,"breakage, agglomeration ",,, 
,,,,,,,,,,,,,,,,demonstriert. Die zwei- und dreidimensionalen Abbildungen ,Modellierungstheorie: Von der Diskurswelt zu formalisierten ,,,High Performance Computing: Modern Systems and Practices 
,,,,,,,,,,,,,,,,bilden den Ausgangspunkt für das Quantifizieren der ,Informationsmodellen ,,,"(Thomas Sterling, Matthew Anderson und Maciej Brodowicz) "
,,,,,,,,,,,,,,,,Mikrostruktur (Stereologie) und das Aufstellen von Beziehungen ,"Prozesse, Workflows und Geschäftsprozesse ",,, 
,,,,,,,,,,,,,,,,zwischen Struktur und Eigenschaften. Die Fähigkeit zur Auswahl ,"Meta-Modelle, Referenzmodellierung ",,, 
,,,,,,,,,,,,,,,, ,Grundsätze ordnungsmäßiger Modellierung ,,, 
,,,,,,,,,,,,,,,, , ,,, 
,,,,,,,,,,,,,,,,Seite 622   Inhaltsverzeichnis , ,,, 
,,,,,,,,,,,,,,,,     ,Seite 485   Inhaltsverzeichnis ,,, 
,,,,,,,,,,,,,,,, ,     ,,,Seite 528   Inhaltsverzeichnis 
,,,,,,,,,,,,,,,,der problemspezifischen Methode und der Meßbedingungen , ,,,     
,,,,,,,,,,,,,,,,sowie zur Interpretation und zur Darstellung der ,"Fachkonzeptuelle Modellierung mit höheren Petri-Netzen, der ",,, 
,,,,,,,,,,,,,,,,mehrdimensionalen Meßergebnisse wird vermittelt. ,Entity Relationship-Methode und der BPMN ,,, 
,,,,,,,,,,,,,,,, ,Objektorientierte Modellierung mit UML ,,, 
,,,,,,,,,,,,,,,,Vertrautheit mit Methoden der formalen ,Umsetzung konkreter Aufgabenstellungen ,,, 
,,,,,,,,,,,,,,,,"SpezifikationBefähigung zur Einschätzung, für welche Software-", ,,, 
,,,,,,,,,,,,,,,,Artefakte der Einsatz formaler Spezifikation sinnvoll ist. ,"Modellierung -Schaltgeräte, Konstruktion, Funktionsfähigkeiten ",,, 
,,,,,,,,,,,,,,,,Kenntnisse über Potentiale und Grenzen formaler Methoden ,und Modelle - Schaltvorgänge und Darstellung von ,,, 
,,,,,,,,,,,,,,,, ,Wanderwellenvorgängen im Netz ,,,Seite 529   Inhaltsverzeichnis 
,,,,,,,,,,,,,,,, ,"Expertensysteme - Grundbegriffe,Expertensysteme in der ",,,     
,,,,,,,,,,,,,,,,Lernziele & zu erwerbende Kompetenzen: ,"Energieversorgung, Wissensakquisition und ",,, 
,,,,,,,,,,,,,,,,Vermittlung der grundlegenden Probleme und Methoden der ,"Wissensrepräsentation - Behandlung von Ungenauigkeiten, ",,,siehe unter wwwiti.cs.uni-magdeburg.de/iti_amsl/lehre/ 
,,,,,,,,,,,,,,,,automatischen Sprachverarbeitung mit Hidden-Markov-,"Wahrscheinlichkeiten, Fuzzy-Techniken und Neurale Netze in ",,, 
,,,,,,,,,,,,,,,,Modellen. ,ExpertensystemenDaten- und Wissensbanken in ,,, 
,,,,,,,,,,,,,,,,Der Teilnehmer versteht die Funktionalität der wesentlichen ,"Expertensystemen, Überwachung elektrischer Anlagen ",,, 
,,,,,,,,,,,,,,,,Module eines automatischen Sprachverarbeitungssystems und ,"unterstützt durch wissensbasierte Systeme, Beispiele ",,, 
,,,,,,,,,,,,,,,,kann die Funktionsprinzipien mathematisch begründen. ,Inhalte ,,, 
,,,,,,,,,,,,,,,,Der Teilnehmer kann Anwendungen in DSPs und CPUs ,Introduction to simulation ,,,Seite 531   Inhaltsverzeichnis 
,,,,,,,,,,,,,,,,unterscheiden und die spezifischen Anforderungen nennen. Das ,General principles of discrete-event simulations ,,,     
,,,,,,,,,,,,,,,,gleiche gilt für die unterschiedlichen Anforderungen ,Introduction to network simulators ,,, 
,,,,,,,,,,,,,,,,"Kommandos, Diktieren, Dialog, Erkennen großen Vokabulars, ",Statistical models in simulations ,,, 
,,,,,,,,,,,,,,,,Benutzeradaption. ,Random-number and random-variate generation ,,, 
,,,,,,,,,,,,,,,,In einem nachfolgenden Praktikum (optional) kann der ,Queuing models ,,, 
,,,,,,,,,,,,,,,,Teilnehmer die einzelnen Module unter Anleitung ,Input modeling ,,, 
,,,,,,,,,,,,,,,,programmieren und einen eigenen Spracherkenner ,Verification and validation of simulation models ,,,Seite 532   Inhaltsverzeichnis 
,,,,,,,,,,,,,,,,zusammensetzen ,Output analysis ,,,     
,,,,,,,,,,,,,,,, ,Design of experiments ,,, 
,,,,,,,,,,,,,,,, ,Für Master: erweiterte Kompetenzen im wissenschaftlichen ,,, 
,,,,,,,,,,,,,,,,Seite 625   Inhaltsverzeichnis ,Forschen und Schreiben ,,, 
,,,,,,,,,,,,,,,,     , ,,, 
,,,,,,,,,,,,,,,, ,Molekulare Immunologie ,,, 
,,,,,,,,,,,,,,,, ,Immunantwort ,,,Seite 533   Inhaltsverzeichnis 
,,,,,,,,,,,,,,,,Die Teilnehmer kennen und verstehen die Erfolgsfaktoren von ,Signaltransduktion der Immunantwort ,,,     
,,,,,,,,,,,,,,,,"Startups, die Führung eines Startups nach der ""Lean""-",Immunregulation ,,, 
,,,,,,,,,,,,,,,,Philosophie und dabei verwendete Methoden und haben sie ,Immundefizienzen ,,, 
,,,,,,,,,,,,,,,,anhand vorgegebener Beispiele selbst angewandt. ,Tumorimmunologie ,,, 
,,,,,,,,,,,,,,,, ,Autoimmunerkrankungen ,,, 
,,,,,,,,,,,,,,,,Die Teilnehmer verstehen die Rolle von Hypothese in der ,Einführung in die Zellbiologie ,,, 
,,,,,,,,,,,,,,,,Vorbereitungsphase eines Startups und die Validierung dieser ,Zellorganisation und Organellen ,,, 
,,,,,,,,,,,,,,,,durch ein MVP. Die Teilnehmer haben Erfahrung in der ,Membranen und Membranorganisation ,,, 
,,,,,,,,,,,,,,,,Entwicklung eines MVP für ein Startup unter Verwendung einer ,Zelltransport ,,,Seite 535   Inhaltsverzeichnis 
,,,,,,,,,,,,,,,,aktuellen Technologie. ,Zellkommunikation ,,,     
,,,,,,,,,,,,,,,, , ,,, 
,,,,,,,,,,,,,,,,"Die Teilnehmer haben gelernt, … ","Motivation, Einführung und Grundlagen, sowie ausgewählte ",,, 
,,,,,,,,,,,,,,,,"Wie man ein Startup nach dem ""Lean""-Prinzip betreibt ",Themen zu: ,,, 
,,,,,,,,,,,,,,,,Wie man ein wettbewerbsfähiges Geschäftsmodell entwickelt ,"Intellectual Property Rights (IPR), Digital Rights Management ",,, 
,,,,,,,,,,,,,,,,und validiert ,(DRM) ,,, 
,,,,,,,,,,,,,,,,Wie man Investorpräsentationen vorbereitet und hält ,"Access Protection: Pay-TV, Scrambling and Encryption of Video-",,, 
,,,,,,,,,,,,,,,,Wie man Produktspezifikation erstellt ,"and Audio Data, User Authentication and Accounting ",,, 
,,,,,,,,,,,,,,,,Wie Arbeit im Gründerteam funktioniert ,"Verdeckte Kommunikation: Hidden Communication, ",,,Seite 537   Inhaltsverzeichnis 
,,,,,,,,,,,,,,,, ,Steganography ,,,     
,,,,,,,,,,,,,,,,Verständnis der Bedeutung von Projekten in der berufl. , ,,, 
,,,,,,,,,,,,,,,,PraxisUnterschiede zwischen Projektarbeit und Linienarbeit , ,,,"Dyckhoff H./Spengler Th.: Produktionswirtschaft, 2005 "
,,,,,,,,,,,,,,,,kennen ,Seite 493   Inhaltsverzeichnis ,,, 
,,,,,,,,,,,,,,,,Wirkung von Unternehmens- und Projektkultur auf den ,     ,,, 
,,,,,,,,,,,,,,,,Projekterfolg erkennen , ,,,Seite 538   Inhaltsverzeichnis 
,,,,,,,,,,,,,,,,Klassische Projektmanagementdisziplinen kennen ,Authenticity and Integrity of digital Media: Grundlegende ,,,     
,,,,,,,,,,,,,,,,Agile Projektmanagement Methoden kennen ,"Techniken wie Electronic Signatures, Digital Watermarking, ",,, 
,,,,,,,,,,,,,,,,Aspekte internationaler Projektarbeit bewerten können ,"Perceptual Hashing, Digital Forensics ",,,"Domschke W./Drexl A.: Einführung in Operations Research, "
,,,,,,,,,,,,,,,, ,Einleitung und Begriffe ,,,"6. Auflage, 2005 "
,,,,,,,,,,,,,,,, ,Prinzipien des Information Retrieval ,,,"Günther H.O./Tempelmeier H.: Produktion und Logistik, 6. "
,,,,,,,,,,,,,,,,Lernziele und zu erwerbende Kompetenzen: ,Feature-Extraktions- und Transformationsverfahren ,,,"Auflage, 2005 "
,,,,,,,,,,,,,,,,Einführung in die Theorie diskreter Systeme und der zu ihrer ,Distanzfunktionen ,,, 
,,,,,,,,,,,,,,,,Behandlung erforderlichen mathematischen Hilfsmittel ,Algorithmen und Datenstrukturen zur effizienten Suche ,,, 
,,,,,,,,,,,,,,,,Vermittlung von Fähigkeiten zum Entwurf und zur Realisierung ,Anfragesprachen ,,, 
,,,,,,,,,,,,,,,,kombinatorischer und sequenzielle Steuerungen ,Benutzerschnittstellen für Multimedia Retrieval Systeme ,,, 
,,,,,,,,,,,,,,,, ,- Music Representations- Fourier Analysis of Signals- Music ,,, 
,,,,,,,,,,,,,,,,  ,Synchronization- Music Structure Analysis- Chord Recognition- ,,,Seite 539   Inhaltsverzeichnis 
,,,,,,,,,,,,,,,, ,Tempo and Beat Tracking- Content-Based Audio Retrieval- ,,,     
,,,,,,,,,,,,,,,,Knowledge about scientific writingCapability to review scientific ,Musically Informed Audio Decomposition ,,, 
,,,,,,,,,,,,,,,,articles ,- Ringvorlesung Nachhaltigkeit mit den ,,,"Vajna, Weber, Bley, Zeman: CAx für Ingenieure, Springer Verlag "
,,,,,,,,,,,,,,,,Experiences with scientific conferences ,"Themen:Umweltökonomik, Klimaänderung, ",,,2008 
,,,,,,,,,,,,,,,,Usage of web-based submission and review systems ,"Umweltpsychologie,Ökologische Folgen der ",,, 
,,,,,,,,,,,,,,,, ,"Landnutzungsänderung,Genehmigungsverfahren ",,, 
,,,,,,,,,,,,,,,,- Being able to assess when to use Kubernetes ,-Wissenschaftliche Projektarbeit in Gruppen mit Vortrag ,,, 
,,,,,,,,,,,,,,,,- Know how to deploy and scale containerized services in a , ,,, 
,,,,,,,,,,,,,,,,Kubernetes cluster , ,,, 
,,,,,,,,,,,,,,,,- Deploy a cluster in the cloud or on bare-metal ,Seite 499   Inhaltsverzeichnis ,,,Seite 541   Inhaltsverzeichnis 
,,,,,,,,,,,,,,,,- Being able to monitor and debug applications running in a ,     ,,,     
,,,,,,,,,,,,,,,,Kubernetes cluster , ,,, 
,,,,,,,,,,,,,,,, ,Signale und Systeme: Grundlagen ,,,"Vorlesungsskripte und Übungsanleitungen sowie Vajna, Weber, "
,,,,,,,,,,,,,,,,Siehe Trainingsmodul SMK ,Abtastung und Quantisierung von analogen Signalen ,,,"Bley, Zeman: CAx für Ingenieure, Springer 2008 "
,,,,,,,,,,,,,,,, ,Rauschen ,,, 
,,,,,,,,,,,,,,,,Anwendung der Methoden der Schwarmintelligenz zur ,Quellen- und Fehlercodierung ,,, 
,,,,,,,,,,,,,,,,Problemlösung (Optimierung und verteilte Systeme)Befähigung ,Basisband Signalübertragung ,,, 
,,,,,,,,,,,,,,,,zur Entwicklung der Schwarmintelligenzalgorithmen ,Modulation ,,, 
,,,,,,,,,,,,,,,, ,"Aufgaben, Leistungsmerkmale und Systeme der ",,, 
,,,,,,,,,,,,,,,, ,Nachrichtenvermittlung ,,,Seite 543   Inhaltsverzeichnis 
,,,,,,,,,,,,,,,,Lernziele & zu erwerbende Kompetenzen: ,Nachrichtennetze und Dienste ,,,     
,,,,,,,,,,,,,,,,Problemstellungen und Lösungsansätze des Advanced ,Nachrichtenverkehrstheorie ,,, 
,,,,,,,,,,,,,,,,Produktion Planning and Scheduling (APS) und des Supply Chain ,Netz- und Dienstintegration ,,, 
,,,,,,,,,,,,,,,,Management ,Digitale Vermittlungssysteme ,,, 
,,,,,,,,,,,,,,,,Umgang mit Systemen des APS ,Digitale Koppelnetze ,,, 
,,,,,,,,,,,,,,,,Befähigung zur kritischen Auseinandersetzung mit den ,"ISDN- Basisanschluss, S0- Schnittstelle, UK0- Schnittstelle ",,, 
,,,,,,,,,,,,,,,,präsentierten Planungskonzepten ,Teilnehmer- Signalisierung (D- Kanale- Protokoll) ,,, 
,,,,,,,,,,,,,,,, ,Overview of Narrative VisualizationConcepts and Tools for Story ,,, 
,,,,,,,,,,,,,,,, ,"GenerationApplications in climate research, molecular research ",,,Seite 545   Inhaltsverzeichnis 
,,,,,,,,,,,,,,,,Lernziele und erworbene Kompetenzen: ,and astronomyApplications in business and finance ,,,     
,,,,,,,,,,,,,,,,Nach dem erfolgreichen Abschluss des Moduls verfügen die , ,,, 
,,,,,,,,,,,,,,,,Studierenden über detaillierte Kenntnisse über den Aufbau von ,"Neural networks can learn flexibly from noisy data, but suffer ",,,Siehehttp://bauhaus.cs.uni-magdeburg.de 
,,,,,,,,,,,,,,,,System-on-Chips (SoCs) und deren einzelnen Komponenten. Sie ,from phenomena such as overfitting ,,, 
,,,,,,,,,,,,,,,,"sind in der Lage, Entwurfsentscheidungen selbständig zu treffen, ","and catastrophic forgetting. Logical formalisms, on the other ",,, 
,,,,,,,,,,,,,,,,zwischen Entwurfsalternativen abzuwägen und bestehende ,"hand, can employ represent knowledge in ",,, 
,,,,,,,,,,,,,,,,Entwürfe hinsichtlich ihrer Eignung für ein vorgegebenes ,"a very general and abstract way, but suffer from a lack of ",,, 
,,,,,,,,,,,,,,,,Anwendungsszenario zu evaluieren. Die Studierenden können ,reference of the symbols to real sensor data. ,,, 
,,,,,,,,,,,,,,,,aktuelle Trends beim Entwurf und Einsatz von SoC benennen ,Neural-symbolic integration tries to combine the strengths of ,,,Seite 547   Inhaltsverzeichnis 
,,,,,,,,,,,,,,,,und in den Gesamtkontext einordnen. Durch Übungen sind die ,both worlds in order to ,,,     
,,,,,,,,,,,,,,,,"Studierenden in der Lage, angeleitet ihr Wissen und Fähigkeiten ",advance towards strong artificial intelligence. Current neural-,,, 
,,,,,,,,,,,,,,,,forschungsorientiert zu vertiefen und in komplexen ,symbolic integration systems can ,,,Siehehttp://bauhaus.cs.uni-magdeburg.de 
,,,,,,,,,,,,,,,,Problemstellungen anzuwenden und zu beurteilen. , ,,, 
,,,,,,,,,,,,,,,, , ,,, 
,,,,,,,,,,,,,,,, ,Seite 507   Inhaltsverzeichnis ,,, 
,,,,,,,,,,,,,,,, ,     ,,, 
,,,,,,,,,,,,,,,,Seite 645   Inhaltsverzeichnis , ,,, 
,,,,,,,,,,,,,,,,     ,already outperform both deep learning and logical reasoning. ,,,Seite 549   Inhaltsverzeichnis 
,,,,,,,,,,,,,,,, ,The lecture will introduce into the field and present cutting-edge ,,,     
,,,,,,,,,,,,,,,,Sensibilisierung für die Einbettung von Wissenschaft und ,neural-symbolic integration ,,, 
,,,,,,,,,,,,,,,,Technik in die GesellschaftKomplexes Verhältnis und ,"frameworks such as logic tensor networks, neural logic ",,,"Masing, W.: Handbuch Qualitätsmanagement, Carl Hanser "
,,,,,,,,,,,,,,,,gegenseitige Beeinflussung von Technikentwicklung und ,"machines and logical neural networks, ",,,Verlag 
,,,,,,,,,,,,,,,,Gesellschaft zueinander verstehen und anwenden ,as well as a systematic overview of neural-symbolic frameworks. ,,,"Pfeifer, T.: Qualitätsmanagement. Strategien, Methoden, "
,,,,,,,,,,,,,,,,könnenTheorien und Methoden der sozialwissenschaftlichen , ,,,"Techniken, Carl Hanser Verlag, München, Wien, "
,,,,,,,,,,,,,,,,Technikforschung kennenlernen und auf Technik- und ,Einführung in die Grundlagen der neuronalen Netze aus Sicht ,,,Weitere aktuelle Literatur- und Normenhinweise gemäß 
,,,,,,,,,,,,,,,,Produktentwicklung interdisziplinär anwenden könnenErlernen ,der Informatik ,,,Vorlesungsskript 
,,,,,,,,,,,,,,,,fachübergreifendes wissenschaftliches Arbeiten ,"Behandlung von Lernparadigmen und Lernalgorithmen, ",,, 
,,,,,,,,,,,,,,,, ,Netzmodelle ,,, 
,,,,,,,,,,,,,,,,Lernziele: ,Qualifikationsziele und Inhalte des Moduls: ,,, 
,,,,,,,,,,,,,,,,Verständnis der besonderen Eigenschaften und Probleme bei ,"Ohne nichtlineare Berechnungen ist es z.B. nicht möglich, die ",,, 
,,,,,,,,,,,,,,,,hardwarenahen Sicherheitslösungen ,Tragreserven einer Konstruktion zu erkennen und zu nutzen ,,, 
,,,,,,,,,,,,,,,,"(Kommunikationsprotokolle, Umgebungsabhängigkeit, ",(Leichtbau!) und die Zuverlässigkeit von Konstruktionen zu ,,,Seite 551   Inhaltsverzeichnis 
,,,,,,,,,,,,,,,,Beschränkung der Ressourcen) ,"verbessern (schadentolerante Bauweisen, Sicherheit bei Rissen, ",,,     
,,,,,,,,,,,,,,,,Kompetenzen: ,"Alterungen, Korrosion u.ä.); die Simulation und die Optimierung ",,, 
,,,,,,,,,,,,,,,,Befähigung zum Entwurf und zur Realisierung angepass-ter ,"von Fertigungsprozessen (z.B. Umformen, Schmieden, ",,, 
,,,,,,,,,,,,,,,,"Sicherheitslösungen, ausgehend von einem ","Schneiden, Abtragen) sind ohne nichtlineare Berechnungen ",,, 
,,,,,,,,,,,,,,,,Anwendungsproblem ,nicht möglich. Darüber hinaus führen nichtlineare ,,, 
,,,,,,,,,,,,,,,, ,Berechnungen zu einem besseren Verständnis des ,,, 
,,,,,,,,,,,,,,,,Lernziele & erworbene Kompetenzen: ,Strukturverhaltens (z.B. bei Stabilitätsphänomenen). In der ,,, 
,,,,,,,,,,,,,,,,"Fähigkeit, den prinzipiellen Aufbau von Rechnern als ", ,,, 
,,,,,,,,,,,,,,,,Schichtenmodell von unterschiedlichen Abstraktionsebenen zu , ,,,Seite 552   Inhaltsverzeichnis 
,,,,,,,,,,,,,,,,verstehen und zu beschreiben ,Seite 511   Inhaltsverzeichnis ,,,     
,,,,,,,,,,,,,,,,"Kompetenz, Komponenten der digitalen Logikebene ",     ,,, 
,,,,,,,,,,,,,,,,"eigenständig zu entwerfen, ", ,,,Wird in der Vorlesung bekanntgegeben 
,,,,,,,,,,,,,,,,Vertiefte Kenntnis über die Maschinenebene eines digitalen ,"Vorlesung werden die Studenten befähigt, die Notwendigkeit ",,, 
,,,,,,,,,,,,,,,,Rechners. ,"nichtlinearer Berechnungen zu erkennen, für die Lösung eines ",,, 
,,,,,,,,,,,,,,,,Verständnis der Prinzipien zur Leistungssteigerung durch ,"Problems eine geeignete Modellbildung vorzunehmen, das ",,, 
,,,,,,,,,,,,,,,,Fließband- und Parallelverarbeitung ,Modellproblem mittels FEM zu lösen und die erzielten ,,, 
,,,,,,,,,,,,,,,, ,Ergebnisse kritisch zu beurteilen. ,,, 
,,,,,,,,,,,,,,,, ,Neben den theoretischen Grundlagen werden die Übungen ,,,Seite 553   Inhaltsverzeichnis 
,,,,,,,,,,,,,,,,Lernziele: ,praktische Probleme exemplarisch gelöst und diskutiert. In der ,,,     
,,,,,,,,,,,,,,,,Vermittlung von Grundlagen zur Einordnung und zum Entwurf ,Projektarbeit löst jeder Student eine individuelle ,,, 
,,,,,,,,,,,,,,,,von Architekturen und Komponenten der Systemsoftware aus ,Aufgabenstellung unter Nutzung einer kommerziellen FEA-,,,Eigenes Skript + diverse Spezialliteratur 
,,,,,,,,,,,,,,,,"den Bereichen Betriebssysteme, Kommunikationssysteme und ","Software (Ansys, Apaqus). ",,, 
,,,,,,,,,,,,,,,,Netzwerkarchitekturen. ,Numerical linear algebra (e.g. (iterative) solution of linear ,,, 
,,,,,,,,,,,,,,,,Kompetenzen: ,"systems, eigen and singular value decomposition)Basis ",,, 
